county,year,gdays,maqi
Anderson,2003,169,276
Knox,2007,42,85
Le Flore,2019,79,35
Saratoga,2016,119,328
Roanoke City,1992,63,57
Gilmer,2003,126,327
Bullitt,2019,93,214
Matanuska-Susitna ,2005,124,101
Mobile,2008,150,281
Harnett,1993,44,52
Arkansas,1990,60,59
Bristol,1984,246,114
Mayagnez,2007,58,22
Baldwin,1992,139,302
San Joaquin,2000,172,228
Lexington,2018,92,306
Cache,2013,174,192
Alamosa,2013,146,346
Norfolk City,1984,128,345
Whitman,2009,68,354
Albany,1994,209,277
Berks,1986,185,165
Montgomery,1996,140,336
Forsyth,2011,147,211
Delaware,1994,39,12
Davidson,2019,91,272
Ashtabula,2012,179,301
Williams,1998,80,354
Perry,2006,143,307
Geauga,1997,203,134
Delta,1992,68,152
Saginaw,1992,96,161
Hardin,1982,119,138
Muhlenberg,1994,200,288
Ashley,2009,74,92
Arapahoe,2005,151,243
York,2021,129,217
Pinal,2006,974,20
Middlesex,1985,221,133
Ulster,2000,164,318
Jefferson,2005,183,153
McDowell,2002,108,57
Hamilton,1994,197,83
Pennington,2000,247,266
Washington,2005,101,25
Franklin,1997,197,101
Salinas,2012,26,338
Kane,2017,143,291
Warren,1981,200,250
Gilmer,2005,122,327
Muskogee,1989,143,306
Gibson,2016,115,353
Cherokee,1991,150,275
Sainte Genevieve,2014,115,189
Cambria,2000,182,222
Sweetwater,2010,112,254
Milam,2019,4,338
Mayes,1993,54,36
Cherokee,2002,140,284
Platte,1992,192,324
Creek,2010,112,298
Hennepin,2018,104,228
Rutland,2005,107,306
Roosevelt,1983,17,272
St. Lawrence,2020,118,295
Hamilton,2000,185,333
Placer,1998,215,240
Burlington,2002,57,361
Clark,2018,140,240
Otoe,1985,80,88
Bennington,2016,112,343
Grant,2016,83,287
Yuma,1987,172,115
Meade,2021,67,173
Meade,2021,67,173
Beaufort,1990,96,338
Bradley,2008,165,305
Scott,1992,182,237
Trinity,2002,57,111
Coweta,2000,208,133
Fairfield,1981,261,68
Litchfield,1998,182,163
Muscatine,1993,200,211
Anoka,2004,121,224
Lawrence,2006,115,184
Garfield,2021,66,265
Platte,2000,172,284
Grand,1997,48,54
Merced,1985,72,9
Bucks,1986,228,202
Pinellas,1989,188,166
Cherokee,2000,126,223
Amador,2012,156,257
Sumner,2019,93,284
Orange,1980,277,59
Saratoga,2008,156,323
Routt,2013,64,336
Essex,2021,101,229
Mercer,1982,223,226
Peoria,1984,155,197
Spartanburg,2006,172,140
Isabella,1985,200,138
Sherman,1993,55,105
Washington,2020,112,297
Milwaukee,1994,235,238
Franklin,1993,150,218
New Haven,1998,202,221
Henry,2004,85,68
Charlton,2012,62,114
Saskatchewan,2000,55,43
Sandoval,2019,97,276
Nassau,1993,154,285
Sonoma,2016,87,348
Carson City,1999,97,267
Lowndes,2004,103,67
Cambria,1996,159,231
Hancock,1986,154,70
Siskiyou,2016,93,356
Ravalli,2013,124,273
Madison,2008,79,84
Madison,1998,200,257
Tuscola,2007,172,294
Union,2004,85,310
Jefferson,2017,101,309
Washington,1998,137,25
Bayamon,1996,119,305
Merrimack,2017,90,353
Cumberland,2000,148,135
Kalamazoo,1997,164,119
Graham,1989,77,43
New York,2006,151,191
Ocean,2006,185,170
Columbia,2021,67,178
Middlesex,2005,174,313
Contra Costa,2018,245,203
Chautauqua,2002,206,175
Tucker,2012,133,310
Lake,1989,119,107
Douglas,2004,74,352
Shoshone,2006,129,229
Summers,1999,110,72
Ada,1986,180,190
Limestone,2003,159,178
Pulaski,1997,140,181
Ravalli,2018,89,298
Nez Perce,2012,184,331
Kings,1993,169,155
Merced,2004,204,162
Cherokee,2001,177,189
Stanislaus,1992,192,199
Dona Ana,2021,665,69
Mercer,2000,153,331
Outagamie,2021,112,124
Mercer,1994,150,227
Noble,1996,179,129
Jessamine,2021,100,171
Seminole,2008,122,320
Washington,1988,201,73
Sequoyah,2017,74,326
St Croix,1999,132,288
Tooele,1995,51,362
Johnson,2006,182,269
Maricopa,2014,221,41
Fergus,2004,75,118
Dougherty,2000,122,40
Clarke,2015,97,302
Solano,2021,126,207
Glenn,1987,179,83
Wayne,1994,190,128
Niagara,1986,197,138
Cook,1995,222,105
Monterey,1991,126,283
Monroe,1989,129,255
Nye,2017,167,346
Prince George's,2015,156,191
San Diego,2011,169,56
Clark,1998,228,102
Livingston,1991,172,230
Roanoke City,1989,60,47
Ocean,1997,247,277
New Hanover,2011,120,277
Montgomery,1995,209,203
Chattooga,1991,58,37
Missoula,1986,143,238
Aiken,1994,169,299
LaPorte,1990,166,264
Saint Louis,1991,73,357
Sarasota,2006,154,270
Fairfax,2007,174,172
Winchester City,2019,24,57
Tehama,2014,151,235
Carroll,1982,200,214
Roane,2017,70,272
Mono,2007,9916,242
Clinton,2006,159,139
Whatcom,1998,97,348
Gila,2019,187,145
Mecklenburg,2020,112,296
Paulding,1999,202,189
Otoe,1998,29,5
Baltimore (City),1986,212,76
Merced,1999,213,155
Cumberland,2019,84,282
Lake,2011,102,222
Chemung,2011,105,322
Union,2001,137,125
Chippewa,2007,136,59
Ashtabula,2007,182,289
Weber,1998,179,194
Wasco,1986,78,42
Clark,2009,119,275
Tooele,2018,138,222
LaPorte,2014,126,284
Marion,2005,133,293
Chatham,2010,107,183
Rockbridge,2018,90,253
Northampton,1999,217,196
Jefferson,2006,179,134
Hinds,2016,100,251
Hamilton,1995,216,192
Berkeley,2006,119,271
Kent,2017,101,303
Shelby,2013,122,234
Routt,1995,93,300
Monroe,2011,99,199
Arapahoe,1997,115,309
Pueblo,1998,53,83
Montgomery,2011,108,183
Edmonson,2000,182,230
Rockingham,1989,224,251
St. Lucie,2001,164,317
Wayne,2005,40,110
Douglas,2010,200,198
Saint Louis,1983,268,56
Placer,2002,210,195
King,1993,115,233
Livingston,2004,143,240
McMinn,1992,155,264
Maverick,2010,79,264
Davie,1996,177,85
Contra Costa,2009,172,274
Indian River,2016,84,316
Volusia,1988,85,347
Rapides,1994,52,59
Nassau,2011,108,244
Cherokee,2004,115,325
Deschutes,1983,60,32
Macon,1993,119,297
McLean,2021,107,226
Miller,2003,77,40
Worcester,2019,93,314
Hamilton,2014,129,260
Sagadahoc,1997,212,127
Fredericksburg City,2011,33,56
Kings,2011,185,109
Dane,1987,169,295
Glenn,1988,70,48
Grant,2009,87,355
Merced,1996,212,197
Greenup,1982,177,114
Hardin,2015,105,251
Bay,2015,84,319
Shelby,2007,185,122
Lawrence,1984,166,236
Darlington,2014,97,196
Person,1995,159,269
Taney,2020,57,100
Pike,1999,166,96
Grant,2003,73,357
Summers,2005,118,48
Cuyahoga,1995,190,119
Morgan,2014,128,283
Clackamas,2011,117,209
Cook,2020,164,156
Brewster,2006,90,296
Citrus,1993,96,48
Cole,1995,45,29
Franklin,1983,121,175
Maury,2007,103,62
Noble,2006,133,271
Lancaster,2011,87,344
Duplin,1996,126,307
King William,1992,49,61
St. James,1993,140,333
Rosebud,2011,150,328
Harrison,2001,120,51
Rockingham,1993,156,28
Teller,2005,46,360
Rock,2006,112,147
Marion,1995,105,245
Crook,2009,131,279
Twin Falls,2000,78,65
Milwaukee,2016,185,272
Kern,1984,217,106
York,2010,174,306
Madison,1989,70,56
Elko,1993,63,124
St. Joseph,1999,174,175
Kenton,2007,169,165
Dauphin,2018,108,279
Cherokee,2009,105,277
Fayette,1991,140,123
Converse,2004,70,340
Routt,1995,93,300
Nassau,1980,174,10
Rio Arriba,2008,45,110
Talladega,1991,70,51
Monroe,1989,187,119
Yuba,1990,63,53
Sherman,1985,55,20
Oklahoma,2004,133,229
King William,2010,42,57
Roane,1985,200,206
Lake,1999,107,347
Merced,2014,156,148
Elmore,2011,105,192
Chippewa,2004,94,106
Lowndes,2000,116,43
Pierce,2016,155,313
Penobscot,1990,200,245
Solano,2015,118,246
Gila,2018,184,107
Ozaukee,1994,245,156
Queens,2014,122,270
Dubois,2016,73,104
Itasca,2000,125,13
Grafton,2007,156,336
La Plata,2008,112,208
La Salle,2006,200,259
Vigo,2005,187,189
Berkeley,2002,172,134
Cecil,1998,227,123
Weber,2010,161,198
Josephine,1981,136,176
San Joaquin,1984,209,199
Craighead,1994,57,56
Sumter,2019,64,335
Strafford,1992,64,60
Sumner,2006,151,261
Douglas,2014,114,260
El Paso,1990,113,182
Faulkner,2006,89,71
Jefferson,1997,202,206
Mineral,2020,3,134
Bartholomew,2000,58,124
New Hanover,1981,166,85
McKenzie,2001,84,357
Coweta,2017,74,266
Washtenaw,2021,100,244
Wayne,1990,200,58
Rock Island,1982,124,279
Penobscot,1998,177,324
Fountain,1994,200,273
LaPorte,2006,133,277
Duchesne,1987,56,13
Putnam,2018,51,344
Polk,2021,110,228
Dauphin,1994,208,214
St. Louis City,2020,155,224
Racine,2010,147,144
Adjuntas,2019,66,108
Muscogee,1981,177,239
Douglas,1998,179,123
Sacramento,2018,314,161
Deschutes,1984,84,50
Pottawattamie,2009,129,210
Adams,1996,136,183
Ponce,2015,69,333
Escambia,1992,55,58
Orange,1996,164,300
Middlesex,1999,224,297
Lake,2013,49,120
Humboldt,2013,108,299
Hancock,2001,161,274
District of Columbia,2014,140,225
Dukes,2016,126,340
Hamilton,1987,192,110
Adams,2003,195,169
Oakland,1998,185,247
Ottawa,2010,119,241
Chattooga,2020,58,244
Polk,2014,112,316
Noble,1994,161,248
Herkimer,2007,147,339
Clay,2015,115,281
Winchester City,2015,31,59
Mitchell,1980,27,13
Eagle,2001,33,22
Boulder,2013,151,238
Jefferson,1993,205,176
Boise,2005,109,258
Carbon,2016,84,335
Liberty,2016,67,333
Saint Louis,2013,150,203
Ventura,1980,258,93
Gloucester,1986,216,239
Armstrong,2015,115,219
Warren,2008,108,238
Mariposa,2000,187,199
Lake,2009,119,303
Northampton,2000,151,277
Roosevelt,1999,57,40
Fayette,1996,159,291
Saint Louis,1988,240,77
Cotton,2015,90,229
Knox,1984,164,330
Calhoun,1987,123,97
Jefferson,1980,245,20
Sherman,2008,67,47
Morgan,1996,200,256
Washington,1998,137,25
McLean,1998,195,101
Dodge,1985,166,113
Juneau ,2000,107,108
Trumbull,2020,153,315
Caddo,2019,80,296
Oldham,1983,210,112
Webb,2004,87,339
Alexandria City,1989,190,193
Lafayette,2021,87,257
Chemung,1989,169,240
Orleans,2003,143,206
Osage,2017,108,316
San Luis Obispo,1993,150,296
Culpeper,2005,38,57
Page,2008,115,185
Plymouth,2001,98,62
Pasquotank,1999,116,65
Knox,1996,197,136
Cass,2003,131,307
Box Elder,2001,159,91
Imperial,2001,543,103
Giles,2015,93,324
Park,1997,55,43
Yuma,2005,140,188
Monterey,1984,115,335
Jackson,1995,54,100
Kay,1983,200,117
Knox,1981,200,60
Outagamie,1990,122,162
Sarpy,1995,62,31
Dorchester,2021,105,226
Cascade,2000,119,324
Hanover,1987,208,97
Porter,1988,252,83
Bay,1992,47,16
Maricopa,2013,187,48
Warrick,1988,221,31
Campbell,2014,112,249
Albemarle,2011,105,278
Pennington,2011,94,308
Clinton,2000,150,247
Mariposa,2014,153,195
Hamilton,1993,197,118
Washington,2005,169,129
Frederick,1998,201,106
Benewah,2017,307,206
Mono,1990,164,188
Androscoggin,2019,72,345
Washington,2004,84,231
Graves,2000,210,147
Mono,2021,2723,148
Steele,1996,93,350
Hardin,2012,161,208
Orange,1981,172,173
Clark,1989,227,240
Lehigh,2018,126,272
Valencia,2007,56,355
Lee,1997,165,255
San Mateo,2002,119,322
La Salle,2012,37,360
Crow Wing,2005,152,250
Marion,1990,207,82
Macoupin,2001,164,286
Saint Charles,1981,223,157
York,1983,217,205
Placer,2009,190,167
Travis,2020,153,260
Johnston,2009,90,205
Pierce,2007,157,244
Oneida,2006,101,208
Duchesne,2004,20,56
Albany,1983,122,211
Colbert,1986,200,220
Porter,2021,136,205
Lincoln,2015,215,204
Ashland,2012,112,332
Noble,1991,107,53
Yuma,1988,151,111
Denton,1985,238,205
Union,1984,79,334
Westchester,1990,195,302
Vermillion,1987,200,291
Oldham,1983,210,112
Citrus,2006,75,90
Page,2015,88,209
Strafford,1999,172,196
Union,2004,85,310
Sanders,1990,154,276
Roanoke City,1996,78,344
Elkhart,2015,124,239
Jefferson,1988,232,158
Lee,2005,140,163
New Castle,2018,150,260
Lackawanna,1991,215,217
Shasta,1995,143,257
Lorain,1983,213,154
Nassau,2010,96,262
Trego,2000,161,145
Knox,1994,177,213
Newton,2004,133,284
Columbia,2021,90,218
Providence,2004,172,234
Alexander,2010,140,132
Glenn,1993,143,301
Cullman,1983,185,124
Monroe,1991,185,126
Walworth,1999,205,112
Scott,2015,152,112
Randolph,2010,97,328
Kent,2006,197,248
Sevier,1993,187,181
Sullivan,2019,121,237
McLennan,2002,127,100
Salt Lake,1992,200,42
Fayette,1990,190,249
Baltimore (City),2010,187,191
Yancey,2019,87,191
Jackson,2020,84,61
Houston,2019,77,256
Bossier,1991,133,304
Washington,2016,61,111
Escambia,1998,58,58
Pasquotank,1997,46,60
Ottawa,2015,88,276
Hancock,1980,219,116
Pointe Coupee,2019,112,322
Cedar,2000,91,82
Macon,2016,101,321
Caddo,2010,126,287
Mineral,2004,78,115
Jefferson,2006,67,302
Alexander,1994,151,280
Carteret,1998,179,250
Alexandria City,1989,190,193
Westchester,1984,207,233
Rockingham,2013,119,271
Shasta,2016,140,298
Lackawanna,1984,179,221
Denver,2021,166,121
Dubois,2012,80,80
Columbus,1994,61,353
Claiborne,2015,84,341
Arkansas,1989,65,51
Worcester,2010,187,117
Fayette,1982,169,218
Knox,1985,105,352
Luzerne,1992,154,310
Madison,2000,164,128
Archuleta,1985,115,105
Cass,2012,91,293
Hillsborough,2005,164,104
Charleston,1991,128,304
Greenup,1981,174,120
Pike,1992,115,213
Clay,2001,164,158
Vigo,1992,200,241
Escambia,1997,182,206
Berrien,1996,215,97
New Hanover,2021,93,216
Custer,2006,126,253
Marin,2017,161,290
Los Angeles,2001,230,20
Mitchell,2001,106,62
Sharkey,1995,151,153
Sutter,2021,78,92
Northampton,1981,192,133
Pennington,1987,93,158
Story,2000,115,203
Camden,2012,179,223
Columbus,1983,105,333
Hawaii,2008,259,1
Summit,2012,151,178
Sweetwater,2004,412,323
New London,2017,161,312
Grant,2021,55,178
DeKalb,2019,90,324
Lynchburg City,1995,51,58
Simpson,2003,147,160
Dyer,1999,94,11
Bristol City,2003,147,54
Harford,1982,218,238
DeKalb,2013,140,204
Robeson,2008,75,68
Guayama,2018,40,342
Jefferson,2003,178,32
Middlesex,2014,97,338
Dukes,2015,112,242
Alexander,2013,100,197
Effingham,1987,179,126
Meigs,1981,200,232
Charlottesville City,1996,36,61
Harford,2003,226,216
Stafford,2000,151,145
DeKalb,1998,59,52
Davis,1980,224,172
Tuscarawas,1989,169,134
Orange,1985,289,75
Garfield,1999,205,60
Lubbock,2001,77,112
DeKalb,1998,205,215
Imperial,1983,133,271
Columbia,2000,87,199
Hampden,2005,197,198
Pennington,1987,93,158
DeKalb,1990,220,222
New Castle,1984,223,68
San Miguel,1994,100,251
Baltimore,2006,205,154
Tucker,2011,97,311
Door,1999,208,173
Cascade,1996,122,306
Thurston,2006,85,91
Caddo,1994,154,270
Ouachita,1992,59,60
Winnebago,2005,135,278
Gibson,1994,167,196
Columbus,1991,200,343
Blount,2002,201,102
Geneva,1995,129,271
Kings,2005,182,201
Athens,1996,45,58
Shoshone,1991,319,59
Salt Lake,1992,200,42
Manatee,1981,87,323
Saratoga,2008,156,323
Cumberland,1989,221,237
Lynchburg City,1998,35,30
Waukesha,2004,139,256
Morton,2005,109,170
Forest,2013,84,326
Anoka,1989,164,297
Gila,2008,200,92
Asotin,2012,188,273
Umatilla,2013,115,269
Hancock,1989,200,27
Kewaunee,2006,174,145
Pickens,2019,93,175
Lewis,2002,50,27
Orleans,2009,119,268
Kootenai,2010,84,175
Yakima,1985,171,314
Flathead,2009,99,229
Carolina,2003,59,51
Chatham,2012,124,232
Baldwin,2021,61,190
Floyd,2000,186,179
Lackawanna,1992,166,292
Black Hawk,2007,155,71
Alameda,2001,178,290
San Juan,1988,46,75
Edgecombe,2020,94,319
Lowndes,2007,112,60
Becker,2016,89,337
Blue Earth,1980,182,137
Henderson,2011,140,250
Kent,1980,192,262
Pierce,1984,200,142
Union,1996,61,47
Putnam,2015,60,102
Marengo,2000,49,57
Cass,1986,88,175
Clermont,2012,202,207
Fremont,2021,62,43
Wood,1986,204,141
Peoria,1986,162,198
Riley,2007,108,298
Ozaukee,1986,201,249
Fountain,1985,200,242
Wabash,2007,147,273
Lyon,2020,331,308
Cumberland,2012,164,257
Morton,2002,127,246
Rockingham,1983,201,271
Clinton,2002,172,265
Davidson,2021,101,123
Orleans,2006,113,142
Tooele,1995,51,362
Washington,1989,205,128
San Juan,1997,32,99
Alamance,1999,120,37
Shelby,2002,169,116
Santa Clara,1995,204,244
Pulaski,1994,154,279
Manatee,2006,150,276
Douglas,2006,134,169
Baker,2008,105,291
Summit,1980,205,17
Christian,2018,90,241
Pointe Coupee,2017,105,343
Scott,1998,197,150
Prince George's,1994,216,239
Grand,1991,114,231
Dallas,1993,220,283
Arkansas,1996,68,51
Forest,2021,74,156
Rutland,1996,113,333
Arapahoe,2010,122,222
Catawba,2003,114,44
Morgan,2020,96,348
Pope,1995,46,56
Perry,2011,87,296
Scott,2019,112,222
Greene,2014,108,328
Monmouth,2005,185,314
Caddo,2006,156,219
La Crosse,1980,169,144
Cascade,1989,92,320
Santa Fe,1996,32,366
Clark,2009,119,275
New Hanover,1999,200,236
Marengo,1995,47,40
Gwinnett,2001,203,114
Lexington,1994,124,264
Rosebud,2000,92,323
Wyandotte,1985,153,179
Bergen,1991,205,192
Albemarle,2017,80,317
Clay,2019,67,97
St John,1991,83,75
Kenosha,1986,179,53
Seminole,2011,136,316
New London,2019,129,323
Baltimore,1986,213,135
Jefferson,1995,200,161
Cass,1994,53,169
Ward,1987,79,27
Spokane,2009,90,285
Blair,2009,97,329
Chambers,1985,244,232
Carteret,2021,97,215
Champaign,2013,100,309
Richmond,2001,192,208
Porter,1993,157,218
Marshall,2008,31,58
Fresno,1985,227,55
Jefferson,2016,105,194
Dakota,2014,86,319
Holmes,2001,126,297
Mobile,2012,126,229
Prince William,1992,179,143
Kleberg,2016,92,128
Williams,1987,200,305
Pinal,1991,200,157
Ottawa,1988,19,9
Macon,2020,64,358
Yellowstone,2016,124,347
Sonoma,1990,108,326
Navajo,2010,112,279
Navajo,1996,43,132
Lancaster,1981,229,225
Crawford,1987,67,42
Newton,2009,97,318
Sarasota,2020,90,308
Paulding,2014,95,228
Georgetown,1988,104,241
Jackson,2012,31,22
Cherokee,1989,174,262
Harlan,1998,48,60
Muskogee,2000,109,309
Madison,1984,43,2
New Hanover,2010,144,234
Denton,1985,238,205
Hinds,2019,100,256
Lewis,2000,52,56
Santa Cruz,2006,101,347
Mercer,1981,112,335
Allen,2017,105,279
Morgan,2002,190,79
Caldwell,2005,133,144
San Juan,1989,78,261
Barbour,2005,119,35
Henrico,1997,195,149
Caroline,2016,112,160
Macon,2009,90,315
Calaveras,2018,157,148
Westchester,2015,140,290
Kent,2018,140,318
Chester,1994,154,249
Salem City,2009,71,92
Cowlitz,1992,43,60
Coweta,2013,71,306
Ford,2013,54,364
Delaware,1989,56,44
Chemung,1986,151,322
Pine,1997,23,40
Edgefield,2008,159,254
Campbell,1985,54,18
Saint Clair,1981,200,105
Madison,2016,108,324
Arlington,1998,185,213
Jackson,1995,136,250
Washington,1995,197,124
Plumas,2008,196,77
Crittenden,1997,187,260
New Castle,1999,215,89
Bullitt,2013,105,222
Caswell,2012,136,238
Etowah,2002,147,130
Swain,2006,94,178
Snohomish,1990,127,158
Chittenden,1994,122,291
Craighead,1993,54,57
Carlton,2019,80,346
Erie,1998,85,24
Black Hawk,1980,116,307
Galveston,1988,95,138
Muskogee,2007,104,298
Aiken,2017,71,259
Claiborne,2003,126,289
Dakota,1999,108,308
Adams,2019,132,223
Saint Charles,2001,185,227
Allegany,1985,159,233
Sumner,2002,150,256
Gaston,1994,51,166
Converse,1997,52,61
Richmond,1998,202,272
Worcester,2013,112,285
Leon,1985,100,340
Barbour,2004,106,28
Rapides,1989,53,25
Abbeville,2005,154,136
Pottawattamie,2003,89,85
Collier,1996,53,55
Cook,2014,63,327
Mesa,2019,87,289
Mecklenburg,1996,220,218
Muskogee,1998,151,262
Salt Lake,1994,200,64
Abbeville,2008,161,141
Montgomery,1992,164,309
Florence,1993,119,215
Hunterdon,1985,223,243
Sarpy,2006,85,82
Larimer,2017,153,194
Beaufort,2011,46,352
Stearns,2008,152,284
New York,2006,151,191
Elmore,2001,154,165
Licking,1999,187,111
Glynn,2019,80,254
Union,1983,133,72
Lewis,1996,56,44
Lake,1990,164,319
Tulare,2012,195,91
Chautauqua,2007,169,267
Custer,1980,32,74
Bay,1998,60,51
Escambia,2016,97,314
Windham,1992,55,56
Manati,1997,91,46
Oceana,1991,225,59
Oakland,1980,223,253
Lake,2005,108,270
Ashtabula,1990,172,248
Oliver,2021,166,168
Posey,2001,133,100
Suffolk City,2009,100,177
Gallatin,1998,59,145
Lake,1994,140,311
Hampden,2012,147,242
Oxford,1990,198,197
St. Croix,1997,140,146
Cumberland,1998,212,244
Dunn,2002,74,356
Dutchess,1990,172,247
Goodhue,1997,29,31
Parker,2015,133,301
Tuolumne,2015,126,264
Lincoln,2010,88,341
Cameron,2004,151,315
Humphreys,1997,141,269
Tulare,2011,195,68
Jefferson,1999,179,155
Fairfield,1996,51,58
Tulsa,2015,147,251
Carroll,2007,150,110
Washington,2016,61,111
Frederick,1981,216,235
Sanders,1995,75,107
Houston,2009,111,146
Lehigh,1999,213,178
Martinsville City,1996,47,59
New York,1988,261,11
Morgan,2005,136,266
Routt,1997,82,318
Suffolk,1998,174,154
Jackson,2012,110,230
Elbert,2000,51,112
Rapides,1994,52,59
Lemhi,2010,153,234
Albany,1989,150,262
Cumberland,2012,147,275
Anchorage ,1997,91,266
Kent,1992,166,306
Columbia,2002,133,319
Westchester,1981,197,220
Martin,2015,71,310
Ozaukee,1992,151,179
Goodhue,2007,133,147
Gila,1993,88,123
Benton,2018,119,338
Pasco,1998,185,267
Chautauqua,2008,156,280
Rock,2002,69,42
Henry,2011,156,204
Jefferson,1996,200,212
Blair,1987,202,206
Clarke,2003,150,137
Mecklenburg,1982,207,74
Taylor,1982,133,221
Tippecanoe,1993,137,241
Page,2012,108,197
Alameda,1995,210,289
Madison,2011,112,182
Sedgwick,1994,119,285
Contra Costa,2007,136,280
Fairbanks North Star ,2012,222,239
Fulton,2000,228,82
Warren,2019,73,295
Rock,1995,182,133
Flathead,2016,77,326
Monroe,2017,100,305
Fountain,2014,81,361
Cascade,1994,127,337
Schoolcraft,2003,214,307
Hamilton,2005,83,353
Ford,2014,69,362
Muskegon,2019,133,236
Knox,2000,207,138
Cabell,2000,150,216
Warrick,1991,200,38
Beaver,1981,203,87
San Juan,2004,119,241
Story,1983,158,307
Ashland,2015,77,349
Harrison,2020,101,263
DeSoto,1993,154,210
Clearwater,1991,77,19
Oneida,1985,122,311
Wright,2000,117,32
Saint Louis,2014,145,230
Saratoga,1995,169,303
Tangipahoa,2008,73,78
Montgomery,2016,112,276
Buffalo,1988,75,24
Fergus,2003,44,106
Bremer,2011,97,191
Carroll,1983,200,208
Klickitat,2018,157,220
Arkansas,1985,51,35
Galveston,1982,214,95
Tolland,1994,204,294
Placer,1990,234,179
Georgetown,1995,112,333
Weber,1993,161,237
Cherokee,2005,133,252
Beauregard,1990,161,296
Smith,2012,147,286
Brewster,2008,97,288
Johnson,1986,101,280
Arlington,1993,203,212
Calvert,1996,151,84
Fairbanks North Star ,1995,197,190
Denali ,2021,74,269
Madera,1993,205,189
Brown,2021,113,132
Monroe,2016,122,313
Pasquotank,1995,31,59
Walker,1994,43,57
Dane,2012,154,215
Athens,2014,67,45
Leon,1988,147,285
Benton,2004,435,309
Wexford,2015,112,334
Waldo,1989,158,257
Lorain,1988,209,156
Mercer,2008,174,220
Carroll,2013,31,59
Winnebago,2021,100,207
Carolina,1999,52,37
Sublette,1992,93,275
Sutter,1981,122,52
Washoe,1989,159,197
Lancaster,2006,169,227
Koochiching,1987,74,278
Johnston,2018,90,292
Duplin,2008,78,68
Macoupin,2008,124,338
Wood,2012,147,276
Vigo,1989,200,161
Kenai Peninsula ,2001,33,5
Douglas,1993,51,61
Missaukee,2011,122,329
Sumter,1997,84,191
Richmond,2009,151,218
Morgan,1998,200,241
Chippewa,2012,40,61
Pima,1987,150,160
Union,2002,118,291
Winnebago,2001,153,280
Oneida,2000,180,277
Chaves,1997,31,59
Lackawanna,1981,182,190
Hancock,2003,36,40
Warren,2000,42,58
Yuma,1980,182,191
Knox,2016,101,323
Kennebec,2016,84,295
Kay,2013,115,218
Hancock,1984,200,43
Grant,2007,87,314
Daviess,2000,136,260
Muskegon,2017,140,202
Shawnee,2013,93,310
Napa,1983,136,328
Sevier,2021,93,222
Ocean,2006,185,170
DeKalb,2005,119,287
Okanogan,2001,55,107
Spartanburg,2019,105,249
Caribou,1980,200,102
Idaho,2011,50,306
Meigs,1998,140,286
Liberty,2005,122,305
Garfield,1991,32,102
Aiken,1984,132,157
Wayne,2003,170,230
Greenbrier,1992,187,274
Dunn,2017,155,305
Franklin,2017,166,294
Brookings,2013,93,322
Boulder,2000,126,274
Martin,1984,177,253
Harrison,2014,72,95
Grant,2004,125,319
La Salle,2016,36,350
San Miguel,2020,54,114
Glynn,1996,119,261
Bennington,2011,140,292
Gloucester,1980,119,12
Pointe Coupee,1997,182,293
Berrien,2003,190,143
McCracken,1995,150,265
Amador,2012,156,257
Richland,1984,143,248
Ouachita,1981,169,153
Elko,2003,104,350
St John,1990,35,18
Tangipahoa,2009,73,101
Howard,1983,222,205
San Juan,2017,133,230
Forsyth,2011,147,211
Weld,2014,126,248
Tazewell,1985,199,249
Crow Wing,2008,116,288
Wayne,2006,119,187
Washington,2000,147,154
York,2014,101,253
Josephine,2005,160,274
Charles,2016,133,166
St. Louis City,1980,220,14
Outagamie,2009,113,247
Livingston,1996,179,285
Barnwell,2005,115,299
Hillsborough,1986,179,120
Livingston,2014,122,233
Elkhart,2012,206,195
Madison,1996,213,114
Lake,1988,227,115
Lafayette,2015,97,249
Yavapai,2005,119,105
Dubois,2021,93,71
Emmet,2001,81,90
Silver Bow,2011,135,272
Lincoln,2019,100,223
Montgomery,2002,126,93
Hawaii,2007,200,177
La Crosse,2019,83,310
Elkhart,2019,81,294
Nueces,1992,178,267
Riverside,1984,300,52
Kootenai,2001,105,323
Alachua,2017,92,316
McKenzie,2011,262,319
Phillips,2001,107,58
Sublette,2021,133,153
Androscoggin,1998,82,353
Boone,2004,159,126
Colbert,2007,122,212
Franklin,2013,82,292
Montgomery,1986,195,223
Ponce,2018,118,179
Warren,2007,43,58
Harford,1999,221,256
Ada,2013,183,278
Porter,2004,174,241
Dunn,2020,58,360
Eddy,2005,112,285
Washington,2020,72,104
Granville,2011,156,130
Northampton,2001,200,147
Pottawattamie,1987,65,51
Virginia Beach City,2008,167,224
Bullitt,2007,147,140
Douglas,2014,114,260
Allegany,1988,207,193
Adams,1983,176,224
Chaves,2000,76,142
Morgan,2012,129,218
Lubbock,2010,72,347
Garfield,1989,36,100
Kaufman,2020,134,312
Clark,1994,147,291
Fauquier,1989,166,126
Suffolk,1982,271,14
Columbiana,2021,35,272
Napa,2001,126,350
Newport News City,1988,48,366
Carter,2021,118,185
Madison,2007,182,208
Kane,2003,126,302
Rutherford,2004,156,186
Inyo,2011,13276,173
Mercer,1987,262,231
Jackson,2000,151,220
Forest,2006,97,337
Chester,1999,214,104
Hampshire,1997,215,275
Twin Falls,2018,151,313
Ottawa,1996,37,60
Collin,1998,192,220
Boone,1988,46,59
Adams,2012,146,213
